"carat","depth","table","x","y","z","cutNumber","colorNumber","priceNumber"
0.83,62.3,55,6.02,6.05,3.76,3,5,3
0.71,61.8,59,5.73,5.69,3.53,4,5,3
0.73,62.2,56,5.74,5.78,3.58,3,6,3
0.71,61.8,59,5.7,5.75,3.54,4,6,3
0.7,62.1,60,5.71,5.65,3.53,4,5,3
0.76,59.6,57,5.91,5.86,3.51,4,3,3
0.79,60.6,57,5.98,6.06,3.65,5,4,3
0.7,64.1,55,5.6,5.66,3.61,2,6,3
0.73,62.7,55,5.72,5.76,3.6,3,3,3
0.71,60.7,56,5.81,5.82,3.53,5,6,3
0.81,62.6,55,5.92,5.96,3.72,3,5,3
0.72,62,60,5.73,5.69,3.54,4,7,3
0.81,58,59,6.17,6.13,3.57,4,3,3
1,58.2,60,6.61,6.55,3.83,4,2,3
0.81,61.3,59,5.94,6.01,3.66,5,3,3
0.71,62.7,60,5.67,5.71,3.57,4,7,3
0.71,61.6,60,5.74,5.69,3.52,4,7,3
0.51,61.7,56,5.12,5.16,3.17,3,7,3
0.74,61.8,58,5.77,5.81,3.58,3,3,3
0.7,58.8,66,5.81,5.9,3.44,1,4,3
1.01,67.4,60,6.19,6.05,4.13,1,6,3
0.77,61.5,59,5.87,5.91,3.62,3,2,3
0.82,62.4,54,5.97,6.02,3.74,3,5,3
0.6,61.6,56,5.43,5.46,3.35,5,4,3
0.7,62.2,58,5.6,5.66,3.5,4,6,3
0.83,62.3,57,5.99,6.08,3.76,3,4,3
0.83,62.5,59,5.95,6.02,3.74,5,3,3
0.79,61.8,59,5.92,5.95,3.67,3,2,3
0.76,59,70,5.89,5.8,3.46,1,4,3
0.73,62.5,55,5.8,5.76,3.61,3,5,3
0.75,60.4,57,5.93,5.96,3.59,3,3,3
0.71,57.8,60,5.9,5.87,3.4,2,5,3
0.71,62.8,57,5.69,5.64,3.56,4,5,3
1,62.3,58,6.45,6.34,3.98,4,1,3
0.53,61.9,54,5.22,5.25,3.24,3,5,3
0.72,62.4,58,5.83,5.7,3.6,4,5,3
0.74,63.5,56,5.74,5.79,3.66,5,6,3
0.73,60.6,54,5.84,5.89,3.55,3,6,3
0.71,62.6,58,5.7,5.67,3.56,4,5,3
0.71,62.4,61,5.7,5.65,3.54,4,4,3
0.71,59.9,60,5.81,5.77,3.47,4,4,3
0.71,63.5,55,5.66,5.64,3.59,5,4,3
0.71,63.8,58,5.62,5.66,3.6,5,6,3
0.8,62.5,56,5.88,5.96,3.7,5,6,3
0.72,61.7,57,5.74,5.77,3.55,3,5,3
0.82,61.5,56,6.01,6.08,3.72,3,3,3
0.72,62.2,56,5.74,5.77,3.58,3,7,3
0.9,67.3,59,5.93,5.84,3.96,1,2,3
0.74,61.9,56,5.8,5.77,3.58,4,5,3
0.57,58.7,66,5.34,5.43,3.16,1,6,3
0.72,62.8,56,5.74,5.7,3.59,3,4,3
0.82,64,57,5.92,5.89,3.78,2,4,3
0.75,60.6,58,5.85,5.9,3.56,5,3,3
0.71,62.2,58,5.66,5.72,3.54,5,5,3
0.93,61.9,57,6.21,6.19,3.84,4,1,3
0.7,62,57,5.64,5.71,3.52,5,5,3
0.75,63.4,56,5.78,5.74,3.65,5,4,3
0.73,63.1,57,5.74,5.7,3.61,5,7,3
0.81,59.2,57,6.15,6.05,3.61,4,7,3
1.2,64.6,56,6.73,6.66,4.33,1,5,3
0.7,59.9,60,5.77,5.84,3.48,5,5,3
0.7,62.8,61,5.57,5.61,3.51,2,5,3
0.75,63.4,58,5.72,5.76,3.64,5,5,3
1,65.7,59,6.14,6.07,4.01,1,1,3
0.7,63,60,5.57,5.64,3.53,5,4,3
0.7,63.5,59,5.49,5.53,3.5,2,6,3
0.32,62.7,58,4.37,4.34,2.73,4,2,1
0.32,62.4,57,4.37,4.35,2.72,3,2,1
0.32,63.1,56,4.39,4.36,2.76,5,2,1
0.3,60.9,59,4.31,4.29,2.62,4,3,1
0.3,62.9,58,4.28,4.24,2.68,4,3,1
0.3,63.8,55,4.26,4.2,2.7,2,3,1
0.3,63.4,60,4.25,4.23,2.69,5,3,1
0.33,61.4,56,4.85,4.79,2.95,3,3,1
0.29,62.4,55,4.2,4.25,2.63,5,6,1
0.34,61.5,56,4.47,4.5,2.76,3,3,1
0.34,61.8,55,4.48,4.52,2.78,3,2,1
0.3,62.3,56,4.29,4.31,2.68,3,4,1
0.35,60.6,56,4.56,4.58,2.77,3,4,1
0.32,61.4,58,4.37,4.42,2.7,5,5,1
0.3,62,56,4.28,4.3,2.66,3,4,1
0.7,62.3,58,5.64,5.72,3.54,5,5,3
0.71,62.4,57,5.69,5.72,3.56,3,7,3
0.73,58.6,60,5.92,5.89,3.46,4,6,3
0.91,59.8,58,6.3,6.29,3.77,4,4,3
0.91,64.3,58,6.09,6.05,3.9,2,2,3
0.76,61.7,57,5.88,5.85,3.62,3,6,3
0.55,61.5,56,5.23,5.27,3.23,5,7,3
0.74,61.7,58,5.79,5.81,3.58,4,4,3
0.7,61.4,56,5.7,5.76,3.52,3,3,3
0.7,61.4,56,5.72,5.77,3.53,3,3,3
0.95,56,60,6.62,6.53,3.68,1,5,3
0.72,58.3,58,5.99,5.92,3.47,4,6,3
1.02,60.3,58,6.55,6.5,3.94,4,4,3
0.61,60.1,57,5.52,5.54,3.32,3,4,3
0.78,61.5,59,5.96,5.88,3.64,4,5,3
0.83,62.5,55,6.04,6,3.76,3,3,3
0.71,60.2,56,5.84,5.89,3.53,3,2,3
0.71,62.3,58,5.69,5.65,3.53,4,6,3
0.71,59.2,59,5.86,5.83,3.46,4,6,3
0.71,61.3,55,5.77,5.72,3.52,3,6,3
0.9,62.8,55,6.2,6.16,3.88,3,1,3
0.7,62.4,61,5.66,5.63,3.52,4,6,3
0.7,63,60,5.64,5.6,3.54,4,6,3
0.86,59.3,62,6.36,6.22,3.73,4,5,3
0.7,62.9,57,5.66,5.61,3.54,3,6,3
0.7,61.8,60,5.69,5.64,3.5,4,5,3
1,65.3,62,6.34,6.12,4.08,1,3,3
0.72,62.3,56,5.73,5.77,3.58,3,3,3
0.86,64.3,60,5.97,5.95,3.83,2,5,3
0.75,62,57,5.8,5.78,3.59,3,6,3
0.53,61.9,55,5.2,5.21,3.22,3,6,3
0.73,63.6,57,5.72,5.7,3.63,2,6,3
0.73,62.2,59,5.77,5.68,3.56,4,6,3
0.73,63.2,58,5.76,5.7,3.62,5,6,3
0.72,60.3,59,5.84,5.8,3.51,4,6,3
0.72,62.4,59,5.77,5.7,3.58,4,6,3
0.6,62,55,5.37,5.4,3.34,3,5,3
0.73,62.1,55,5.75,5.78,3.58,3,5,3
0.71,61.3,58,5.75,5.73,3.52,4,7,3
0.7,60.7,56,5.75,5.72,3.48,3,7,3
0.71,60.2,56,5.86,5.83,3.52,3,7,3
0.7,62.6,56,5.71,5.66,3.56,4,6,3
0.7,61.4,64,5.71,5.66,3.49,2,6,3
0.7,61.8,56,5.73,5.63,3.51,3,7,3
0.7,60.6,58,5.8,5.72,3.49,4,5,3
0.79,62.8,59,5.86,5.9,3.69,5,7,3
0.71,62.3,58,5.71,5.66,3.54,4,6,3
0.9,65.8,54,6.05,5.98,3.96,1,3,3
0.71,61.2,59,5.74,5.69,3.5,4,7,3
0.74,63.1,58,5.73,5.75,3.62,2,6,3
0.82,60.8,60,6.05,6.03,3.67,4,6,3
0.83,60,59,6.08,6.05,3.64,4,3,3
0.83,62.5,59,6.02,5.95,3.74,4,3,3
0.91,61.3,67,6.24,6.19,3.81,1,3,3
0.7,57.2,59,5.94,5.88,3.38,2,6,3
0.7,62.2,58,5.66,5.6,3.5,4,6,3
0.7,59.4,61,5.78,5.74,3.42,4,6,3
0.78,60.8,60,5.97,5.94,3.62,4,5,3
0.7,62.3,59,5.67,5.7,3.54,5,7,3
0.79,62.6,58,5.96,5.9,3.71,4,3,3
0.7,62.3,55,5.66,5.7,3.54,3,3,3
1.01,61.6,61,6.39,6.31,3.91,4,3,3
0.8,63.7,54,5.91,5.87,3.75,2,6,3
0.72,61.7,57,5.77,5.74,3.55,3,5,3
0.8,60.2,57,6.05,6.01,3.63,4,6,3
0.77,61.7,56,5.84,5.89,3.62,5,3,3
0.53,60.9,57,5.23,5.29,3.19,3,5,3
0.8,62.1,54.4,5.94,5.99,3.7,3,2,3
0.76,60.8,60,5.89,5.98,3.61,5,6,3
0.75,61.4,57,5.82,5.87,3.59,3,6,3
0.79,61.8,56,5.93,5.91,3.66,3,4,3
0.91,62.8,61,6.15,6.18,3.87,5,2,3
0.81,63,60,5.87,5.81,3.68,4,4,3
0.71,62.2,58,5.72,5.66,3.54,4,5,3
0.8,62,58,5.86,5.95,3.66,5,2,3
0.7,59.6,61,5.77,5.8,3.45,5,7,3
0.61,61.7,55,5.45,5.48,3.37,3,5,3
0.7,60.7,57,5.73,5.75,3.49,3,5,3
0.8,62.8,57,5.91,5.87,3.7,3,3,3
0.53,61.4,57,5.2,5.23,3.2,3,5,3
0.9,63.4,54,6.17,6.14,3.9,5,1,3
0.77,60.7,55,6.01,5.95,3.63,3,6,3
0.63,61.9,57,5.47,5.51,3.4,3,5,3
0.72,62.8,57,5.71,5.73,3.59,3,6,3
0.75,59.6,59,6.04,5.94,3.57,4,5,3
0.71,62.8,60,5.6,5.65,3.53,2,6,3
0.7,61.8,56,5.74,5.69,3.53,3,6,3
0.76,60.9,55,5.92,5.94,3.61,5,3,3
0.72,58.8,60,5.91,5.89,3.47,4,5,3
0.7,61.7,58,5.69,5.63,3.49,4,5,3
0.7,59.4,61,5.83,5.79,3.45,4,5,3
0.7,60.9,61,5.71,5.66,3.46,4,5,3
0.7,63,60,5.64,5.57,3.53,4,4,3
0.71,61.5,57,5.74,5.71,3.52,3,5,3
0.71,62.1,55,5.82,5.68,3.57,3,5,3
0.71,59,60,5.82,5.8,3.43,4,5,3
0.7,62.4,53,5.73,5.71,3.57,3,5,3
0.7,62.1,54,5.69,5.72,3.54,3,6,3
0.71,60.3,58,5.82,5.78,3.5,4,4,3
0.79,59.3,62,6.09,6.01,3.59,4,4,3
0.77,61,60,5.9,5.87,3.59,5,3,3
0.7,61,56,5.75,5.8,3.52,3,5,3
0.92,61.9,56,6.27,6.2,3.86,3,7,3
0.7,59.2,60,5.87,5.78,3.45,4,3,3
0.71,63.4,55,5.69,5.61,3.58,5,7,3
0.82,61.7,53,6,6.12,3.74,3,5,3
0.82,59.7,57,6.12,6.14,3.66,5,5,3
1,58.9,60,6.6,6.55,3.87,4,5,3
0.73,61.4,57,5.76,5.8,3.55,3,7,3
0.73,61.4,58,5.82,5.77,3.56,4,4,3
0.7,58.7,61,5.8,5.72,3.38,4,5,3
0.7,62.7,58,5.65,5.67,3.55,5,6,3
0.81,63.2,58,5.91,5.92,3.74,5,5,3
0.73,61.3,57,5.81,5.84,3.57,3,4,3
0.72,62,57,5.71,5.74,3.55,3,6,3
0.71,60.7,57,5.81,5.78,3.52,3,4,3
0.7,62,59,5.65,5.68,3.51,5,6,3
1.01,63.1,57,6.35,6.39,4.02,2,2,3
0.7,61.8,59,5.65,5.68,3.5,5,6,3
0.8,63.4,60,5.92,5.82,3.72,2,3,3
0.79,61.5,56,5.96,5.91,3.65,3,7,3
0.73,61.6,56,5.79,5.84,3.58,3,3,3
1.01,64.2,61,6.25,6.18,3.99,2,3,3
0.7,61.6,57,5.71,5.76,3.53,3,6,3
0.77,62.9,59,5.84,5.79,3.66,4,6,3
0.77,61.4,58,5.94,5.89,3.63,4,4,3
0.72,60.3,57,5.83,5.85,3.52,3,6,3
0.7,62.9,59,5.61,5.68,3.55,5,4,3
0.75,64.6,57,5.74,5.72,3.7,1,7,3
0.74,63.1,58,5.75,5.73,3.62,5,6,3
0.7,60.8,59,5.69,5.79,3.49,3,5,3
1.2,63.1,60,6.75,6.67,4.23,5,3,3
0.66,62.1,56,5.54,5.57,3.45,3,7,3
0.86,62.7,59,6.04,5.98,3.77,4,3,3
0.58,60.6,59,5.37,5.43,3.27,5,6,3
0.74,61.3,55,5.85,5.86,3.59,3,4,3
0.91,63.5,57,6.12,6.07,3.87,5,2,3
0.71,63.5,55,5.64,5.66,3.59,2,4,3
0.79,60,60,6.07,6.03,3.63,4,7,3
0.82,61.9,58,5.99,5.97,3.7,4,2,3
0.7,62.4,56,5.64,5.7,3.54,5,6,3
0.73,62,57,5.86,5.76,3.6,4,6,3
0.91,65.4,60,6.04,6,3.94,1,1,3
0.91,65.8,58,6.04,6.01,3.96,1,3,3
0.68,61.7,57,5.67,5.64,3.49,4,5,3
1.03,63.6,57,6.38,6.29,4.03,2,1,3
0.98,53.3,67,6.82,6.74,3.61,1,6,3
1,67.8,61,5.96,5.9,4.02,1,4,3
0.6,60.8,57,5.44,5.49,3.32,3,5,3
0.97,60.7,56,6.43,6.41,3.9,3,5,3
0.26,62.3,57,4.05,4.08,2.53,3,6,1
0.36,61.9,55,4.57,4.59,2.83,3,3,1
0.34,63.3,57,4.44,4.47,2.82,2,6,1
0.34,63.4,55,4.44,4.46,2.82,2,6,1
0.34,62.2,54,4.47,4.5,2.79,3,6,1
0.31,61.6,55,4.36,4.41,2.7,3,2,1
0.31,62.3,54,4.37,4.4,2.73,3,2,1
0.31,62.7,53,4.33,4.35,2.72,3,2,1
0.31,62.2,53.6,4.32,4.35,2.7,3,4,1
0.31,61.8,54.2,4.33,4.37,2.69,3,3,1
0.33,62.3,58,4.43,4.4,2.75,4,5,1
0.33,61.9,56,4.45,4.41,2.74,3,4,1
0.33,62.8,58,4.41,4.38,2.76,4,1,1
0.33,62.1,55,4.44,4.41,2.75,3,1,1
0.33,63.6,53,4.43,4.4,2.81,2,2,1
1,66.1,56,6.21,5.97,4.04,1,3,3
0.77,61,58,5.94,5.9,3.61,4,5,3
0.9,63.1,58,6.08,6.02,3.82,5,4,3
0.9,61.9,59,6.2,6.14,3.82,4,2,3
0.7,62.1,56,5.63,5.71,3.52,3,4,3
0.81,61.7,57,6,6.05,3.72,5,5,3
0.7,61.4,59,5.73,5.7,3.51,4,6,3
0.71,63.5,59,5.68,5.59,3.58,5,6,3
0.76,62.7,54,5.88,5.83,3.67,3,6,3
0.71,60.4,62,5.74,5.72,3.46,4,7,3
0.9,64.5,56,6.06,6,3.89,1,4,3
0.7,61,57,5.76,5.74,3.51,3,7,3
0.77,60.9,60,5.91,5.88,3.59,4,5,3
0.7,59.6,61,5.8,5.77,3.45,4,7,3
0.83,59.2,60,6.17,6.12,3.64,4,6,3
0.9,63.6,58,6.07,6.1,3.87,5,1,3
0.71,62.9,57,5.66,5.6,3.54,4,7,3
0.71,60.7,58,5.95,5.78,3.56,4,7,3
0.62,61.6,56,5.48,5.51,3.38,3,4,3
0.62,60.1,61,5.53,5.56,3.33,1,5,3
0.66,61,58,5.67,5.57,3.43,4,7,3
0.8,62.6,58,5.9,5.92,3.7,5,5,3
0.79,62.3,54,5.97,5.91,3.7,4,5,3
0.7,61.1,57,5.71,5.74,3.5,3,3,3
0.79,60,60,6.07,5.99,3.64,4,3,3
1.22,60.9,57,6.93,6.88,4.21,4,6,3
0.73,62.5,61,5.78,5.64,3.59,4,6,3
0.71,60.8,56,5.8,5.77,3.52,3,7,3
0.84,62.3,59,6.06,6.01,3.76,4,5,3
0.71,59.7,59,5.82,5.8,3.47,4,7,3
0.71,61.7,57,5.75,5.7,3.53,3,7,3
0.71,60.6,58,5.79,5.77,3.5,4,7,3
0.9,59.8,62,6.24,6.21,3.72,4,1,3
0.71,59.1,61,5.84,5.8,3.44,4,6,3
0.72,60.9,60,5.78,5.74,3.51,4,6,3
0.81,60.3,57,6.07,6.04,3.65,3,6,3
0.73,60.8,55,5.87,5.81,3.55,4,7,3
0.56,61.8,55,5.27,5.31,3.27,5,7,3
0.7,62.3,58,5.66,5.7,3.54,3,3,3
0.71,62.9,57,5.67,5.69,3.57,5,3,3
0.71,60.4,57,5.78,5.81,3.5,3,3,3
0.95,58.4,57,6.49,6.41,3.77,4,5,3
0.52,61.2,56,5.21,5.19,3.18,3,5,3
0.82,62.3,56,6.02,5.96,3.73,3,5,3
0.8,61.3,57,5.96,5.91,3.64,3,4,3
0.72,62.4,55,5.72,5.75,3.58,3,2,3
0.79,61,58,5.96,5.9,3.62,4,6,3
1.08,61.9,60,6.55,6.48,4.03,4,7,3
0.62,61.8,56,5.43,5.47,3.37,3,4,3
0.72,60.9,57,5.79,5.77,3.52,3,3,3
0.83,62.2,57,6,6.05,3.75,3,6,3
0.8,62.5,57,5.94,5.9,3.7,3,4,3
0.72,61.5,56,5.72,5.79,3.54,3,5,3
0.73,61.3,59,5.81,5.78,3.55,4,6,3
0.73,61.3,58,5.76,5.83,3.55,5,6,3
0.9,62.8,59,6.13,6.03,3.82,4,1,3
0.79,62.6,55,5.91,5.95,3.71,3,4,3
0.75,60.7,55,5.87,5.92,3.58,5,7,3
0.7,59,62,5.79,5.81,3.42,5,4,3
0.7,61.4,64,5.66,5.71,3.49,2,6,3
0.7,60.7,56,5.72,5.75,3.48,3,7,3
0.72,58.3,57,5.89,5.94,3.45,5,6,3
0.84,65.1,55,5.88,5.97,3.86,2,4,3
0.77,63.2,58,5.8,5.84,3.68,5,6,3
1,61.7,56,6.45,6.41,3.97,3,2,3
0.9,65.7,58,6.03,6,3.95,1,2,3
0.9,64,61,6,5.96,3.83,2,1,3
0.9,65.8,56,6.01,5.96,3.94,1,2,3
0.78,62.6,58,5.91,5.82,3.67,4,5,3
0.7,59,59,5.79,5.77,3.41,4,5,3
0.7,61.8,58,5.67,5.63,3.49,4,4,3
0.7,61.6,55,5.75,5.71,3.53,3,5,3
0.7,62.9,59,5.68,5.61,3.55,4,4,3
0.77,62.4,56,5.84,5.9,3.66,3,3,3
1,66.3,61,6.08,6.03,4.01,1,2,3
0.73,62.6,60,5.68,5.75,3.58,4,6,3
0.72,62.2,54,5.74,5.76,3.57,5,3,3
0.74,62.3,55,5.8,5.83,3.62,3,4,3
0.7,59.1,62,5.82,5.86,3.44,2,5,3
0.79,62.7,60,5.82,5.89,3.67,5,5,3
0.71,61.5,55,5.76,5.78,3.55,3,2,3
0.73,61.4,56,5.81,5.86,3.58,5,5,3
0.7,60.4,60,5.73,5.7,3.45,4,5,3
0.84,61,56,6.13,6.1,3.73,3,4,3
1.02,60.3,54,6.53,6.5,3.93,3,1,3
0.72,62,56,5.76,5.73,3.56,3,5,3
0.74,63.9,57,5.72,5.74,3.66,5,7,3
0.71,60,59,5.84,5.83,3.5,5,6,3
0.7,62.8,56,5.62,5.65,3.54,5,3,3
0.73,59.9,58,5.87,5.84,3.51,4,5,3
0.73,58.7,57,5.97,5.92,3.49,4,5,3
0.9,62.7,64,6.09,6,3.79,2,3,3
1.03,65.3,55,6.32,6.27,4.11,1,2,3
1.01,62.7,60,6.36,6.27,3.96,4,2,3
0.8,56.3,63,6.22,6.14,3.48,1,6,3
0.73,61.4,56,5.79,5.81,3.56,3,6,3
0.71,62.4,54,5.71,5.79,3.59,5,7,3
0.79,61.7,59,5.93,5.96,3.67,3,2,3
0.7,63.5,54,5.62,5.66,3.58,5,6,3
0.9,63.5,58,6.09,6.14,3.88,2,3,3
0.5,62.2,54,5.08,5.12,3.17,3,6,3
0.74,61.2,56,5.83,5.87,3.58,3,5,3
0.77,59.8,61,5.99,5.95,3.57,4,6,3
0.8,62.4,57,5.9,5.87,3.67,3,5,3
0.8,63.8,59,5.87,5.83,3.73,2,5,3
0.71,61.2,58,5.71,5.79,3.52,5,6,3
0.71,61.6,56,5.74,5.76,3.54,3,6,3
0.72,61.1,56,5.78,5.81,3.54,3,7,3
0.86,61.8,55,6.12,6.14,3.79,3,3,3
0.71,62.6,55,5.66,5.71,3.56,5,5,3
0.71,61.5,57,5.73,5.75,3.53,3,4,3
0.7,59.2,60,5.87,5.78,3.45,5,3,3
0.82,59.9,62,6.02,6.04,3.61,2,4,3
0.82,59.9,59,6.09,6.06,3.64,4,4,3
0.81,62.2,57,5.96,6,3.72,3,4,3
0.71,60.9,56,5.75,5.78,3.51,5,4,3
0.7,62.1,53,5.71,5.75,3.56,3,4,3
0.77,61.3,60,5.81,5.91,3.59,5,4,3
0.53,61.6,56,5.18,5.24,3.21,3,5,3
0.73,61.5,55,5.82,5.86,3.59,3,6,3
0.77,60.9,58,5.94,5.88,3.6,4,6,3
1.01,61.5,57,6.46,6.45,3.97,3,2,3
0.76,61.1,58,5.91,5.85,3.59,4,6,3
0.72,62.5,55,5.69,5.74,3.57,3,6,3
0.74,61.8,58,5.81,5.77,3.58,4,7,3
0.75,62.3,55,5.83,5.8,3.62,3,7,3
0.98,57.9,56,6.51,6.47,3.76,2,3,3
